image_key,CONCEPT,PCguess,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,depth
114_0042,Solenosmilia matrix,100,9/12/2018 0:11,IN2018_V06_114,1a,1a,z16,35,147.0682194,-44.29198611,Coral reef substrate,42,3.96078459,49,QT-2,2,17,NA,NA
042_0387,Solenosmilia matrix,10,28/11/2018 16:35,IN2018_V06_042,fished,1c,Sisters,81,147.2584392,-44.26938117,Rock,387,7.81418848,96,QT-2,2,64,NA,1172.071429
125_0196,Solenosmilia matrix,90,9/12/2018 21:44,IN2018_V06_125,1a,1a,z16,36,147.0743366,-44.292056,Coral reef substrate,196,10.07854231,56,QT-2,2,16,NA,1316.483333
098_0160,Solenosmilia matrix,30,7/12/2018 8:04,IN2018_V06_098,1,1,z110,74,146.1947638,-44.26568072,Rock,160,1.956744953,69,QT,1,69,NA,1409
125_0224,Solenosmilia matrix,40,9/12/2018 21:46,IN2018_V06_125,1a,1a,z16,36,147.0752936,-44.2923405,Rock,224,1.836960069,12,QT,1,12,NA,1361.625
031_0089,Solenosmilia matrix,100,26/11/2018 23:26,IN2018_V06_031,1,1,Hill U,41,147.183806,-44.31960142,Coral reef substrate,89,5.20873353,35,QT,1,35,NA,1216.512037
166_0159,Solenosmilia matrix,20,14/12/2018 15:13,IN2018_V06_166,1,1,z8,70,147.2909323,-44.2037605,Coral reef substrate,159,4.196966823,74,QT,1,74,NA,1254.66
100_0315,Solenosmilia matrix,40,7/12/2018 15:53,IN2018_V06_100,1,1,slope,59,146.35506,-44.16935688,Coral reef substrate,315,5.121807186,17,QT,1,17,NA,1283.428571
059_0314,Solenosmilia matrix,10,1/12/2018 4:33,IN2018_V06_059,fished,1c,Sisters,56,147.2294622,-44.26334594,Coral rubble,314,11.6764904,20,QT,1,20,NA,1215.357143
063_0392,Solenosmilia matrix,5,1/12/2018 13:43,IN2018_V06_063,1a,1a,z16,43,147.0656617,-44.2816387,Coral rubble,392,4.723285049,26,QT,1,26,NA,1412.5
116_0222,Solenosmilia matrix,10,9/12/2018 3:25,IN2018_V06_116,1,1,Hill U,83,147.1752106,-44.32562613,Coral rubble,222,7.266588227,52,QT,1,52,NA,1261.1
063_0013,Solenosmilia matrix,100,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,Coral reef substrate,13,10.76387174,35,QT,1,35,NA,1022.7
042_0670,Solenosmilia matrix,10,28/11/2018 16:59,IN2018_V06_042,fished,1c,Sisters,81,147.2633709,-44.26414159,Rock,670,2.424812667,45,QT,1,45,NA,1320.24
098_0086,Solenosmilia matrix,100,7/12/2018 7:58,IN2018_V06_098,1,1,z110,74,146.1926251,-44.26598231,Coral reef substrate,86,4.526703036,17,QT,1,17,NA,1325.95
060_0223,Solenosmilia matrix,10,1/12/2018 5:35,IN2018_V06_060,1,1,Little Sister (z56),38,147.2098524,-44.25135991,Coral rubble,223,4.819346481,13,QT,1,13,NA,1283.207143
148_0040,Solenosmilia matrix,10,12/12/2018 11:45,IN2018_V06_148,1,1,z96,12,147.3698981,-44.17625867,Rock,40,2.542771484,5,QT-2,2,21,NA,1322.168519
136_0694,Solenosmilia matrix,2,11/12/2018 2:55,IN2018_V06_136,2,2,slope,70,147.5015269,-44.07757489,Coral rubble,694,2.122592576,32,QT,1,32,NA,1160.79375
061_0234,Solenosmilia matrix,5,1/12/2018 8:24,IN2018_V06_061,1,1,Hill U,38,147.1716575,-44.32498712,Rock,234,13.59989834,48,QT-2,2,16,NA,1252.057984
130_0023,Coral reef substrate,5,10/12/2018 10:22,IN2018_V06_130,3,5,slope,63,147.0256095,-44.16536721,Rock,23,4.971044813,43,QT,1,43,NA,559.2283333
063_0073,Solenosmilia matrix,100,1/12/2018 13:15,IN2018_V06_063,1a,1a,z16,43,147.0678302,-44.28815031,Coral reef substrate,73,11.32076868,23,QT,1,23,NA,1085.175
062_0024,Solenosmilia matrix,100,1/12/2018 10:45,IN2018_V06_062,1a,1a,z16,39,147.06892,-44.28929397,Coral reef substrate,24,11.33861501,37,QT,1,37,NA,1037.075
059_0383,Solenosmilia matrix,15,1/12/2018 4:39,IN2018_V06_059,fished,1c,Sisters,56,147.2277465,-44.26279397,Coral rubble,383,4.162444603,24,QT,1,24,NA,1252.53125
